epoch,avg_benefit,avg_tl_epoch_train,avg_tl_epoch_val
64,-2.1365912199020385,6.2009196281433105,6.3094000816345215
65,-2.0385799169540406,6.202455043792725,6.290800094604492
66,-2.2517247796058655,6.206014633178711,6.293799877166748
67,-1.9989105224609376,6.213232517242432,6.299900054931641
68,-2.0574082732200623,6.216742515563965,6.336900234222412
69,-2.053345513343811,6.219272136688232,6.333799839019775
70,-2.1684204816818236,6.223352432250977,6.343200206756592
71,-2.3026516795158387,6.230052471160889,6.329899787902832
72,-2.2740937948226927,6.230068683624268,6.32420015335083
73,-2.0807644605636595,6.231861114501953,6.3368000984191895
74,-2.1318459510803223,6.2370171546936035,6.312399864196777
75,-2.025257408618927,6.2420148849487305,6.325300216674805
76,-2.0625624656677246,6.244208812713623,6.335899829864502
77,-2.2371497988700866,6.244948387145996,6.356100082397461
78,-2.226622486114502,6.249239921569824,6.362400054931641
79,-2.190231442451477,6.256202220916748,6.359300136566162
80,-2.0243054151535036,6.257304668426514,6.364999771118164
81,-2.0171392917633058,6.260246276855469,6.364099979400635
82,-1.899291706085205,6.260061264038086,6.368800163269043
83,-1.9044811308383942,6.266041278839111,6.37470006942749
84,-2.0481257677078246,6.264533519744873,6.3927998542785645
85,-1.8920937299728393,6.270525932312012,6.400700092315674
86,-1.7637217402458192,6.273606300354004,6.377600193023682
87,-1.937421727180481,6.275223731994629,6.375199794769287
88,-2.0110810518264772,6.275113582611084,6.3769001960754395
89,-1.8107062697410583,6.280486106872559,6.3850998878479
90,-2.1321767449378966,6.285852432250977,6.402200222015381
91,-1.861958396434784,6.289497375488281,6.410900115966797
92,-2.1609538435935973,6.288401126861572,6.3850998878479
93,-2.0840750098228455,6.292888641357422,6.377500057220459
94,-1.8905906677246094,6.2949724197387695,6.373199939727783
95,-1.9275745272636413,6.297659873962402,6.3790998458862305
96,-1.763374352455139,6.302412509918213,6.3871002197265625
97,-1.8955243349075317,6.304298400878906,6.388000011444092
98,-1.7188844561576844,6.306580066680908,6.38670015335083
